pregunta;respuesta
Tendrás que tratar con gente;You'll have to deal with people
Tendrás que ser duro a veces;You'll have to be hard at times
¿Todavía quieres el trabajo?;Do you still want the job?
Por supuesto que sí;Of course I do
Entonces es tuyo, disfruta con él;Then it's yours, enjoy it
No sé como agradecertelo;I don't know how to thank you
No tienes que agradecermelo;You don't have to thank me
¿Cuando empiezo?;When do I start?
¿Donde estará mi despacho?;Where will my office be?
¿Cuantas personas dependerán de mí?;How many people will report to me?
¿De quién dependeré?;Who will I report to?
¿Como es él?;What's he like?
¿Que clase de persona es?;What kind of person is he?
¿Crees que nos llevaremos bien?;Do you think we'll get along?
¿Es un jefe duro?;Is he a though boos?
¿Cuanto tiempo trabajaste con el?;How long did you work with him?
¿Por qué te marchaste de la compañía?;Why did you leave the company?
¿Quién era el jefe en aquel entonces?;Who was the boos at that time?
¿Intento él hacer que volvieras?;Did he try to make you come back?
Lo intentó pero no tuvo exito;He tried but he didn't succeed
Deseame suerte;Wish me luck
Dibújamelo.;Draw it for me.
Volaron sobre la ciudad.;They flew over the city.
No dije nada.;l didn't say anything.
Dile lo que dijiste.;Tell him what you said.
Di la verdad.;Tell the truth.
Cuéntanos un chiste.;Tell us a joke.
Cuenta hasta diez.;Count to ten.
Cuando me entere, la mataré.;When l find out, I'll kill her.
Me encantaría ayudarte.;l'd love to help you.
¿Me puedes echar una mano?;Can you give me a hand?
Creí que lo sabias.;I thought you knew.
No me grites.;Don't shout at me.
Si no lo haces, lo haré yo.;If you don't do it, I'll do it.
Hagámoslo una vez más.;Let's do it one more time.
¿Qué importa?;What difference does it make?
Creí que te gustaban las mujeres.;I thought you liked women.
Le empujaron al agua.;They pushed him into the water.
No le rompas la camisa.;Don't tear his shirt.
No me rompas la máquina.;Don't break my machine.
No tenemos alternativa.;We have no choice.
¿Cuándo nos va él a recoger?;When is he going to pick us up?
Espero que sepas lo que haces.;I hope you know what you're doing.
Deja de hablar tanto.;Stop talking so much.
¿Quién te dio permiso?;Who gave you permission?
Tú eres el que estoy buscando.;You're the one I'm looking for.
Todo fue culpa tuya.;Everything was your fault.
No sé de qué estás hablando.;I don't know what you're talking about.
No me mientas.;Don't lie to me.
Estoy cansado de escuchar tus quejas.;I'm tired of listening to your complaints.
Siempre te estás quejando.;You're always complaining.
Nos vamos a mudar a Noruega.;We're going to move to Norway.
Apúntalo.;Write it down.
Póntelo.;Put it on.
Quítatelo.;Take it off
Pruébatelo.;Try it on
Búscales.;Look for them.
Espérala.;Wait for her.
Mira eso.;Look at that.
Recógelos.;Pick them up.
Llévala a cenar.;Take her out to dinner.
No tienes que gritarles.;You don't have to shout at them.
Tiralo(a la basura);Throw it away.
Tiralo por la ventana.;Throw it out the window.
No te rindas.;Don't give up.
Lárgate.;Get out.
Lárgate de aquí;Get out of here.
Vuelve a llarmarle.;Call him back.
Sigue intentando.;Keep trying.
No te rías de mí.;Don't laugh at me.
Deja de llorar.;Stop crying.
¿De quién son esos dibujos?;Whose drawings are tose?
Probablemente intentarán matarles.;They'll probably try to kill them.
Es la mujer más hermosa del mundo.;She's the most beautiful woman in the world.
Todo el mundo hará el examen.;Everyone will take the exam.
Si apruebas el examen, aprobarás el curso.;If you pass the exam, you'll pass the course.
¿Cuántas asignaturas tengo que estudiar?;How many subjects do I have to study?
Hubo una explosión en aquella tienda.;There was an explosion in that shop.
¿Cuándo ocurrió?;When did it happen?
¿Había gente cerca?;Were there any people nearby?
Está sonando el teléfono.;The telephone's ringing.
¿Quién lo va a coger?;Who's going to answer it?
Nadie está interesado en tu dibujo.;Nobody's interested in your drawing.
¿Sabes cuánto tiempo tardé en dibujarlo?;Do you know how long it took me to draw it’
Déjame que lo adivine.;Let me guess.
Bueno señores, ¿qué hacemos?;Well, gentlemen, what shall we do?
Es el mejor hombre que tenemos.;He's the best man we have.
Será difícil encontrar un sustituto.;It'll be difficult to find a replacement.
Nadie sabe tanto como él.;Nobody knows as much as he does.
Nadie habla tantos idiomas como él.;Nobody speaks as many languages as he does.
Nadie es tan persuasivo como él.;Nobody is as persuasive as he is.
Nadie tiene tantos contactos como él.;Nobody has as many contacts as he does.
Nadie es tan atractivo como él.;Nobody's as attractive as he is.
Tendremos que encontrar a alguien como él.;We'll have to find someone like him.
No va a ser fácil.;It's not going to be easy.
Es nuestra única alternativa.;It's our only alternative / choice.
Quisiéramos saber lo que él piensa.;We'd like to know what he thinks.
¿Por qué no le llamamos?;Why don't we call him?
Si crees que él nos ayudará, estás loco.;If you think he'll help us, you're crazy.
Vístete y vámonos.;Get dressed and let's go.
¿Me visto aquí o en el baño?;Shall l get dressed here or in the bathroom?
No me importa donde te vistas.;I don't care where you get dressed.
Él se está enfadando.;He's getting angry.
Me encuentro de maravilla.;I feel great.
¿Te importa llamar más tarde?;Do you mind calling back later?
Estaré aquí toda la tarde.;I'll be here all afternoon.
Si no estoy, deja un recado.;If I'm not here, leave a message.
Si nadie contesta, sigue llamando.;If no one answers, keep calling.
Siento tener que hacer esto.;I'm sorry to have to do this.
Fumo porque me gusta.;I smoke because I like to.
Él viene aquí porque le gusta.;He comes here because he likes to.
Se está ensuciando.;It's getting dirty.
¿Con qué frecuencia lo limpias?;How often do you clean it?
Tengo a una criada para limpiarlo.;I have a maid to clean it.
El llorar no ayudará.;Crying won't help.
Las cosas van bien.;Things are going well.
¿Qué tal estás?;How are you doing?
¿Cómo son los Americanos?;What are the Americans like?
Tienen ojos y orejas como nosotros.;They have eyes and ears like we do.
Sus antepasados eran europeos.;They're ancestors were European.
¿Tienen casas como las nuestras?;Do they have houses like ours?
¿Cual fue et veredicto?;What was the verdict
Le encontraron culpable.;They found him guilty.
¿Crees que lo hizo?;Do you think he did it?
No sé qué creer.;I don't know what to think.
Es como vivir en el campo.;It's like living in the country.
Este plan es nuestra salvación.;This plan is our salvation.
Ello sólo nos traerá problemas.;It'll only bring us problems.
Estoy en desacuerdo contigo.;I disagree with you.
¿En qué basas tu opinión?;What do you base your opinion on?
Son iguales(de parecido físico);They look exactly alike.
Deben de preocuparse mucho por ti.;They must worry a lot about you.
Lo oí pero no lo creo.;I heard it but l don't believe it.
No esperes demasiado.;Don't wait too long.
¿De qué trataba el artículo?;What was the article about?
De escándalos como siempre.;About scandals, as always.
¿No esta la gente interesada en otras cosas?;Aren't people interested in anything else?
Supongo que no.;I guess not / I suppose not.
¿Lees esos artículos?;Do you read those articles?
Trato de no leerlos.;I try not to read them.
Hace un día soleado.;It's a sunny day.
Luce el sol.;The sun is shining.
Se está nublando.;It's getting cloudy.
¿Qué tiempo hace?;What's the weather like?
Está empezando a llover.;It's starting to rain.
Hay niebla.;It's foggy.
La niebla está muy espesa.;The fog's very thick.
La nieve se está derritiendo.;The snow's melting.
¿Cuándo nos alcanzará la tormenta?;When will the storm reach us?
Está lloviendo a cántaros.;It's raining cats and dogs.
Está bajando el sol.;The sun's going down.
Pronto estará oscuro.;It'll be dark soon.
Los niños no salen cuando está oscuro.;Children don't go out when it's dark.
Hoy es el día más caluroso del año.;Today's the hottest day of the year.
Puedes freir un huevo en la acera.;You can fry an egg on the pavement.
No puedo dormir de noche.;I can't sleep at night.
No hay brisa.;There isn't any breeze.
Una leve brisa estaría bien.;A slight breeze would be nice.
A mi me gusta el calor.;I like the heat.
¿Quieres decir que te gusta este tiempo?;Do you mean you like this weather?
Me hace sentir fuerte.;It makes me feel strong.
Debes de estar loco.;You must be crazy.
Tuve que estar de pié en el autobús.;I had to stand up in the bus.
¿No te ofreció nadie un asiento?;Didn't anybody offer you a seat?
¿No se dieron cuenta de que estabas;Didn't they realise you were pregnant?
embarazada?;
Al parecer no.;Apparently not.
Fue un acontecimiento muy importante.;It was a very important event.
Yo no quería perderlo.;I didn't want to miss it.
No lo pude ver por la muchedumbre.;Icouldn't see it for the crowd.
Los árboles no te dejan ver el bosque.;You can't see the forest for the trees.
Llegaremos al fondo de este asunto.;e'll get to the bottom of this affair.
¿A qué hora sale el avión?;What time does the plane leave?
¿De qué puerta sale?;What gate does it leave from?
No podrás hacerlo.;You won't be able to do it.
Podremos verle mañana.;We'll be able to see him tomorrow.
¿Quién la despertó?;Who woke her up?
No fui yo.;lt wasn't me.
Entonces, ¿quién fue?;Then who was it?
¿Por qué me estás mirando a mí?;Why are you looking at me?
Quiero que hagas lo que te digo.;I want you to do what I tell you.
No quiero que te metas en líos.;I don't want you to get into trouble.
Quiero que todo el mundo sea feliz.;I want everyone to be happy.
No quiero que nadie esté triste.;I don't want anyone to be sad.
Quiero que mis hijos prosperen.;I want my children to prosper.
Quiero que triunfes en la vida.;I want you to succeed in life.
No quiero que fracases.;I don't want you to fail.
Quiero que te cases con una buena mujer.;I want you to marry a good woman.
Quiero que aumentes tus conocimientos.;I want you to increase your knowledge.
Quiero que hagas lo mejor que puedas.;I want you to do the best you can.
Él quiere que el equipo pierda.;He wants the team to lose.
Quiere que compremos un billete.;He wants us to buy a ticket.
Quiere que lueva.;He wants it to rain.
¿Llueve mucho aquí?;Does it rain a lot here?
¿Qué significa esta frase?;What does this sentence mean?
Él no durará mucho.;He won't last long.
Soy como el malo de la película.;I'm like the bad guy in the movie.
¿En qué sentido?;In what way?
Siempre termino perdiendo.;I always end up losing.
¿Sientes pena de ti mismo?;Do you feel sorry for yourself?
En absoluto.;Not at all.
Entonces ¿por qué loras?;Then why are you crying?
No lo puedo evitar.;I can't help it.
¿Qué quieres decir con que no lo puedesevitar?;What do you mean you can't help it?
Estás pelando una cebolla.;You're peeling an onion.
No intentes ser gracioso.;Don't try to be funny.
Volvamos al tema.;Let's get back to the subject.
¿De qué hablábamos?;What were we talking about?
De si existen o no los fantasmas.;Whether ghosts exist or not.
Yo no creo que existan.;I don't think they exist.
No creo en ellos.;I don't believe in them.
¿En qué basas tu creencia?;What do you base your belief on?
No sabes de lo que estás hablando.;You don't know what you're talking about.
Tenemos cosas mejores de que hablar.;I have better things to talk about.
¿Cómo qué?;Like what?
Como el verdadero significado de la belleza.;Like the true meaning of beauty.
La belleza es relativa, como todo.;Beauty is relative, like everything else.
¿Dónde conseguiste esas ideas?;Where did you get those ideas?
Mi padrino me las enseñó.;My godfather taught them to me.
¿Vive aún?;Is he still alive?
Está casado con mi madre.;He's married to my mother.
Asi que es tu padrastro también, ¿no?;Then he's you stepfather too, isn't he?
No funcionará.;It won't work.
Te ganarán.;They'll beat you.
Levántalo.;Lift it.
Cógele.;Catch him.
No le sueltes.;Don't let him go.
Pégale si trata de escaparse.;Hit him if he tries to get away.
Estate quieto.;Be still.
No dejes que el perro te muerda.;Don't let the dog bite you.
¿Puedo pedirte un favor?;Can I ask you a favour?
Es por eso por lo que me marcho.;That's why I'm leaving.
Ella me escribió una carta.;She wrote me a letter.
Me costó mucho (dinero).;It cost me a lot.
Me cobraron demasiado.;They charged me too much.
Tradujeron el mensaje.;They translated the message.
Él me presentó al gerente.;He introduced me to the manager.
Y o estaba violento.;I was embarrassed.
No sabía qué hacer.;I didn't know what to do.
No sabia donde poner las manos.;I didn't know where to put my hands.
Él se dio cuenta de que yo estaba nervioso.;He realised I was nervous.
No pude ocultar mis sentimientos.;I couldn't hide my feelings.
Él me llenó el vaso.;He filled my glass.
Se lo agradecí.;I thanked him.
No me hizo caso.;He ignored me.
Hicieron una fortuna.;They made a fortune.
Hazme una promesa.;Make me a promise.
Hazme un favor.;Do me a favour.
¿Hiciste reservas?;Did you make reservations?
Hice un crucigrama.;I did a crossword puzzle.
Haz ejercicios.;Do exercises.
Tengo que hacer un recado.;I have to do an errand.
Él no hizo nada.;He didn't do anything.
Hacemos máquinas de coser.;We make sewing machines.
Hacemos negocios con ellos.;We do business with them.
Siempre hago lo mejor que puedo.;I always do the best I can.
No le hagas enfadar.;Don't make him angry.
Harán que lo hagas.;They'll make you do it.
Hago vestidos.;I make dresses.
Haces mucho ruido.;You make a lot of noise.
Quiero hacerte una oferta.;I want to make you an offer.
Me gano la vida enseñando.;I make a living teaching.
¿Quién tomó la decisión?;Who made the decision?
Hiciste una buena impresión.;You made a good impression.
Te harán rico.;They'll make you rich.
Hazlo bien.;Do it well.
Haz la cama.;Make the bed.
Haz un esfuerzo.;Make an effort.
No me hagas reír.;Don't make me laugh.
No hagas los quehaceres domésticos.;Don't do the housework.
Haz tus deberes(de escuela);Do your homework.
Él me pone nervioso.;He makes me nervous.
